TICKER_ID,PRICE_USD,ONE_DAY_CHANGE_PERCENT,SEVEN_DAY_CHANGE_PERCENT,MARKET_CAP_USD,VOLUME_USD,CIRCULATING_SUPPLY,FULL_MARKET_CAP_USD,MAX_SUPPLY,ONE_DAY_LOW_USD,ONE_DAY_HIGH_USD,VOLUME_MARKET_CAP_PERCENT,MARKET_DOMINANCE_PERCENT,ONE_MONTH_ROI_PERCENT,PRICE_CHANGE_USD
10001,20414.69,1.34,9.55,3.94317E+11,6297828806,19315350,4.28671E+11,21000000,20065.34,20535.46,0.02,40.08,-6.1,267.92
10002,1460.98,1.9,7.43,1.78786E+11,4085407711,122373866,1.78753E+11,,1429.22,1477.38,0.02,18.17,-4.03,26.95
10003,1.01,0.57,0.73,72635948967,12863544876,72116708665,73668387038,,1,1.01,0.18,7.38,,0.01
10004,275.15,0.41,4.37,43444185760,279219432,157892734,55006000000,200000000,271.6,278.45,0.01,4.41,-10.72,0.99
10005,0.96,3.09,5.05,38927636057,3670430628,40736329068,38915415158,,0.93,0.98,0.09,3.96,-4.38,0.03
10006,0.36,1.63,3.45,18133429918,469204971,50950912949,35580000000,1E+11,0.35,0.37,0.03,1.84,-7.22,-0.01
10007,0.3,0.56,9.4,10564718680,163937506,34695299444,13698000000,45000000000,0.3,0.31,0.02,1.07,-16.13,0
10008,39.22,2.27,19.26,9869665313,24323188,251627612,11751810000,300000000,38.3,40.54,0,1,-4.96,0.81
10009,1.09,6.96,4.83,9640321130,316060153,8868740690,10853000000,10000000000,1.01,1.09,0.03,0.98,-12.94,0.07
10010,0.07,1.64,12.27,8737696536,140772517,1.32671E+11,8735839146,,0.06,0.07,0.02,0.89,-19.92,0
10011,1,0.08,0.55,8335719552,3320019240,8375923988,8334881960,,0.99,1,0.4,0.85,-0.49,0
10012,5.42,2.19,10.16,6953886443,107103953,1283028551,7000318632,,5.25,5.51,0.02,0.71,-13.07,0.11
10013,17.97,3.38,14.77,6885098393,264997907,383077955,9687242669,,17.12,18.28,0.04,0.7,-12.56,0.57
10014,0.97,1.54,3.47,6276304200,239704946,6493848112,6265744116,,0.95,0.99,0.04,0.64,-3.46,0.01
10015,0,1.2,9.39,5973272481,118616345,5.89662E+14,10130000000,1E+15,0,0,0.02,0.61,-20.72,0
10016,20757.72,0.1,7.9,5918109002,84206050,285104,5914682052,,20590.28,20843.62,0.01,0.6,-4.38,4.15
10017,0.06,5.51,12.5,5417870502,151677775,91590798476,5404868906,,0.06,0.06,0.03,0.55,-7.25,0
10018,68.26,1.6,23.28,4946582570,366529772,72465827,5732059200,84000000,66.82,69.82,0.07,0.5,-27.31,1.11
10019,14.44,1.94,12.83,4699576538,71987187,325527578,10386144000,720000000,14,14.57,0.02,0.48,-19.87,0.26
10020,5.43,0.66,15.38,4140778389,50864602,762209327,5432600000,1000000000,5.28,5.5,0.01,0.42,-15.58,0.04
10021,3.62,5.81,8.51,3453981718,563284,953954130,3594400000,1000000000,3.42,3.69,0,0.35,,0.17
10022,11.21,3.89,8.28,3278427956,76119077,292586163,3276496887,,10.62,11.26,0.02,0.33,-18.07,0.43
10023,6.13,1.75,11.98,3168478356,115502290,517099970,6129100000,1000000000,5.96,6.2,0.04,0.32,-12.23,0.1
10024,2.24,0.49,6.49,2732640862,14583773,1221401181,11298455009,5047558528,2.21,2.27,0.01,0.28,,0.01
10025,143.53,4.87,5.94,2619625738,61273593,18251416,2623828452,,136.83,144.37,0.02,0.27,-10.15,6.9
10026,16.95,0.66,14.09,2371947111,70624905,139905692,3568710180,210700000,16.69,17.26,0.03,0.24,-20.93,0.09
10027,112.68,3.17,9.44,2178679744,108562312,19335106,2368590000,21000000,108.7,114.4,0.05,0.22,-9.33,3.45
10028,0.08,3.87,4.77,2091687362,40955103,26444250962,3952742832,50001806812,0.08,0.08,0.02,0.21,-8.24,0
10029,4.88,1.93,21.65,2032158368,132460699,416417362,9578791100,1966776400,4.72,5.03,0.07,0.21,-3.96,0.07
10030,0.99,0.54,0.64,1963218596,39521656,1973480696,1962823900,,0.99,1,0.02,0.2,-0.46,0
10031,2.07,1.07,21.32,1768578919,92520482,853396506,2065000000,1000000000,2,2.15,0.05,0.18,-11.49,-0.04
10032,0.06,0.39,11.99,1620016016,11993589,25263013692,6404800000,1E+11,0.06,0.07,0.01,0.16,-16.57,0
10033,0.06,1.02,11.75,1605977570,17318801,28078985417,2857500000,50000000000,0.06,0.06,0.01,0.16,-35.06,0
10034,1.8,4.6,13.64,1555027359,53002772,866021029,1785600000,1000000000,1.7,1.83,0.03,0.16,-21.35,0.07
10035,0.02,2.33,18.25,1465160224,21355791,72511146418,1744918343,86712634466,0.02,0.02,0.01,0.15,-15.56,0
10036,118.52,2.38,5.61,1430860907,12168935,12072738,1762846379,14881364,113.33,119.75,0.01,0.15,-11.38,2.73
10037,4.68,1.22,14.62,1386168082,18587541,295943142,2247967648,481291380,4.56,4.76,0.01,0.14,-9.99,0.03
10038,10.29,1.47,10.87,1337440000,159316256,130000000,10246000000,,10.01,10.52,0.12,0.14,-28.06,0.1
10039,0.19,1.57,18.32,1332841791,30237336,7116080039,1868000000,10000000000,0.18,0.19,0.02,0.14,-26.88,0
10040,3.88,4.61,20.25,1173942000,41993606,302500000,3873200000,1000000000,3.64,3.91,0.04,0.12,-26.24,0.17
10041,0.97,0.09,20.79,1050123349,88770058,1081263745,1051515008,,0.97,1,0.08,0.11,-7.89,0
10042,0.11,1.79,20.78,1003787130,19642340,8836154321,1177593390,10366138997,0.11,0.11,0.02,0.1,-28.47,0
10043,0.47,0.36,12.43,987135686,6526517,2090946169,4714000000,10000000000,0.47,0.48,0.01,0.1,-18.09,0
10044,38.48,4.07,12.7,966538789,15311431,25117495,1206362133,31415926,36.49,38.63,0.02,0.1,-13.4,1.39
10045,0.51,1.8,17.72,955000379,27498287,1855090092,1129153578,2195088605,0.5,0.52,0.03,0.1,-26.08,0.01
10046,66.55,1.91,13.9,937856895,27658393,14093193,1063475200,16000000,64.17,67.71,0.03,0.1,-16,1.14
10047,0.33,5.24,20.43,927635587,72611930,2783185082,1057910000,3175000000,0.31,0.34,0.08,0.09,-26.67,0.02
10048,0.98,0.48,14.89,912576237,12065329,930251007,931263594,,0.96,1,0.01,0.09,-9.99,-0.01
10049,0.9,2.49,11.76,900800000,6196457,1000000000,901200000,1000000000,0.86,0.91,0.01,0.09,-16.81,0.02
10050,0.86,1.52,19.71,892168200,11944023,1036200000,1179887069,1378211739,0.84,0.88,0.01,0.09,-18.27,0
10051,1,5.03,0.14,875801046,37186017,878084065,875274195,,0.94,1,0.04,0.09,,0.02
10052,7.18,0.68,19.33,817635577,19032986,113918073,1935198000,270000000,7.05,7.35,0.02,0.08,-31.35,0.03
10053,8.28,0.94,4.13,807761247,866227,97512132,1652540000,200000000,8.16,8.32,0,0.08,,0.06
10054,0.58,1.57,23.67,792893450,94242343,1360256391,1056076200,1818000000,0.58,0.62,0.12,0.08,,-0.01
10055,0.52,0.37,18.71,783323184,50688419,1499470108,1567200000,3000000000,0.51,0.53,0.06,0.08,-30.29,0
10056,0.11,1.12,12.81,726401083,19328486,6713503543,961777777,8888888888,0.11,0.11,0.03,0.07,-21.89,0
10057,0,1.6,17.59,710628074,28469361,5.89586E+12,829437815,6.90738E+12,0,0,0.04,0.07,-27.67,0
10058,0.79,1.04,25.61,688526152,15959932,868583515,1581200000,2000000000,0.76,0.83,0.02,0.07,-25.79,-0.01
10059,0.22,3.47,7.24,675683576,23600473,3100888372,2345239421,10782709984,0.21,0.23,0.04,0.07,,0.01
10060,672.1,0.58,29.1,657065795,90957409,977631,673394693,1005577,659.29,732.41,0.14,0.07,-8.45,-10.4
10061,3.49,0.67,7.46,656389665,7531652,187904977,2617875000,750000000,3.45,3.52,0.01,0.07,-16.36,0.02
10062,9.28,0.1,22.11,654304088,21743116,70538831,925090000,100000000,9.16,9.62,0.03,0.07,,-0.04
10063,33.65,6.33,14.33,645614528,5680291,19185084,641652808,19185084,31.03,34.48,0.01,0.07,-27.75,1.76
10064,0.86,6.22,10.93,642112276,36747491,746468585,2834990905,3303030299,0.79,0.86,0.06,0.07,-10.53,0.05
10065,3.83,2.14,23.78,622213775,17767148,162500333,1910250000,500000000,3.69,4.07,0.03,0.06,-25.62,-0.09
10066,32.99,2,14.04,620972347,15081228,18822876.64,690557700,21000000,32.14,33.75,0.02,0.06,-20.46,0.47
10067,1,2.48,3.08,607596227,2391755,607049883,604600508,,0.97,1.01,0,0.06,-3.1,0.01
10068,1.86,0.94,27.22,587058385,153284611,314844141,8022998908,4294967296,1.77,1.93,0.26,0.06,-24.02,0.02
10069,0,1.39,12.37,575178857,8964352,9.51422E+14,598772790,9.9E+14,0,0,0.02,0.06,-13.41,0
10070,0.63,6.73,23.84,547241951,31660125,865204667,637992161,,0.58,0.64,0.06,0.06,-39.66,0.04
10071,7.28,2.47,26.08,542494634,33132643,74477572,725760000,100000000,6.88,7.85,0.06,0.05,-30.75,0.17
10072,2.14,4.03,34,542603072,26762032,253339748,670286789,313995779,2,2.22,0.05,0.05,-12.71,0.09
10073,0.19,3.85,11.06,531724143,6848829,2779530283,532002096,2779530283,0.18,0.2,0.01,0.05,-17.94,0.01
10074,4.54,2.57,7.74,523757598,500604,115377816,1356720000,,4.43,4.61,0,0.05,,0.09
10075,1917.47,1.34,3.97,520140582,22815815,271264,520894696,,1897.01,1972.56,0.04,0.05,,-30.23
10076,0.98,3.85,20.97,518006188,26323803,531016083,521784839,536870912,0.92,1,0.05,0.05,-30.69,0.03
10077,46.56,1.8,26.5,517732024,50885385,11120725,878653440,18900000,45.59,47.05,0.1,0.05,-23.44,0.35
10078,1.24,10.48,4.97,516395886,34301001,416649900,1240800000,1000000000,1.1,1.28,0.07,0.05,-13.57,0.12
10079,0,0.26,15.55,514979629,3039984,1.93311E+13,557340000,2.1E+13,0,0,0.01,0.05,-24.04,0
10080,59.97,1.6,16.7,512116734,29134356,8539805,793231125,13250000,57.87,61.7,0.06,0.05,-6.91,0.66
10081,31.18,1.75,19.24,509143185,20437032,16328269,654290700,21000000,30.39,31.49,0.04,0.05,-31.91,0.59
10082,0.8,4.31,6.63,423694258,2143355,530945186,797300000,1000000000,0.76,0.8,0.01,0.04,-21.09,0.03
10083,0.32,4.35,28.98,405108104,83191459,1260840662,640200000,2000000000,0.29,0.33,0.2,0.04,-25.57,0.01
10084,0.03,2.43,0.2,402112732,756517,13821156666,2911300000,1E+11,0.03,0.03,0,0.04,,0
10085,1.21,2.99,19.1,401488374,11405143,330688061,604250000,500000000,1.17,1.23,0.03,0.04,-28.83,0.03
10086,0.15,3.02,28.35,389045335,96675273,2653788097,769556351,,0.13,0.15,0.25,0.04,,0
10087,0.94,5.87,15.62,384970256,52408027,410284831,385626712,,0.86,0.94,0.14,0.04,,0.05
10088,0.03,2.61,14.05,375095719,7178923,11999991025,3132400000,1E+11,0.03,0.03,0.02,0.04,-20.96,0
10089,4.95,1.65,17.27,373191715,3261860,75418167,493820000,100000000,4.81,5.04,0.01,0.04,-14.96,0.07
10090,0.27,4.54,17.14,364190564,10732914,1330133546,375104842,1374513896,0.26,0.28,0.03,0.04,-35.6,0.01
10091,0.44,0.41,18.5,363877473,8914406,8341987011,652350000,,0.43,0.44,0.02,0.04,-18.92,0
10092,1.46,0.57,28.38,359167405,7520020,246359425,1515297248,1055882690,1.42,1.58,0.02,0.04,,-0.03
10093,0.35,3.58,17.54,353400000,9175369,1000000000,353200000,1000000000,0.33,0.36,0.03,0.04,-22.7,0.01
10094,0.02,1.26,19.01,353278460,19071821,15867699447,465465000,21000000000,0.02,0.02,0.05,0.04,-21.16,0
10095,3.17,1.15,11.63,340963287,4234056,107651087,340500388,,3.09,3.22,0.01,0.03,-15.97,0.03
10096,1.04,1.86,22.75,340472219,3484697,328895112,363862059,352170015,1,1.04,0.01,0.03,-36.12,0.02
10097,0.58,1.12,10.86,323064006,3058157,560000011,578400000,1000000000,0.56,0.59,0.01,0.03,-20.04,0.02
10098,0.03,0.95,25.93,314360000,7917754,10000000000,329802975,10515000000,0.03,0.03,0.03,0.03,-23.67,0
10099,30.98,5.74,20.54,309790000,29545113,10000000,339791121,,28.77,33.2,0.1,0.03,,1.24
10100,0.21,0.1,21.24,307549619,10668399,1499510577,307350000,1500000000,0.2,0.21,0.03,0.03,-24.76,0
